"Owner","Type","Metric_Tons_CO2","KGSQFT_CO2"
"HOME DEPOT USA INC","Retail Store",1136,9
"2130 P STREET ASSOCIATES","Multifamily Housing",1132,6
"COLUMBIA REALTY VENTURE","Multifamily Housing",1127,14
"JBG 1920 N LLC","Office",1121,8
"3600 NY PROPERTIES LLC","Office",1116,9
"1900 M L L C","Office",1113,10
"5000 BURROUGHS AVE LLC","Outpatient Rehabilitation/Physical Therapy",1113,8
"AMERICAN POSTAL WORKERS UNION HOLDING CORPORATION","Office",1113,14
"CRESTWOOD APARTMENTS ASC","Multifamily Housing",1110,4
"ASB 801 NORTH CAPITOL LLC","Office",1107,9
"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","College/University",1092,7
"HHLP DC CONVENTION CENTER ASSOCIATES LLC","Hotel",1091,6
"N19 ASSOCIATES LLC","Office",1081,8
"PRUDENCE LLC","Office",1080,9
"LSREF2 WINDMILL REO NEW YORK LLC","Office",1076,5
"COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC","Multifamily Housing",1070,5
"T&L HOSPITALITY INC","Hotel",1068,11
"CAROLYN STICKLE KOSER TRUSTEE","Multifamily Housing",1066,5
"2800 V STREET LIMITED PARTNERSHIP","NonRefrigerated Warehouse",1061,4
"1330 SEVENTH STREET LIMIITED PARTNERSHIP","Multifamily Housing",1058,7
"NYAP901 F STREET LLC","Office",1058,9
"JOHNS HOPKINS UNIVERSITY","Office",1055,16
"DAVIS BUILDING LLC","Office",1051,10
"VEFVN 500 FIRST LLC","Office",1049,8
"N STREET VILLAGE INC","Multifamily Housing",1046,8
"DEKA IMMOBILIEN INVESTMENT GMBH","Office",1044,7
"BERNARD S GEWIRZ","Multifamily Housing",1038,6
"1015 OB ASSOCIATES LLC","Office",1035,10
"COLUMBIA REALTY VENTRUE LLC","Office",1034,12
"WELLS REIT/INDEPENDENCE SQARE LLC","Office",1032,3
"FT LINCOLN SR VILLAGE NO III ASSOCIATES","Multifamily Housing",1031,4
"ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON","K12 School",1028,13
"DISTRICT INTOWN PROPERTIES LP","Multifamily Housing",1025,6
"2058 PARTNERSHIP LP","Multifamily Housing",1024,5
"CHSP NAVY YARD LLC","Hotel",1022,8
"AMERICAN ASSOC OF STATE COLLEGES AND UNIVERSITIES","Office",1020,8
"BEHRINGER HARVARD COLORADO BUILDING H LLC","Office",1020,7
"NATL ASSOCIATION OF REALTORS","Office",1013,10
"ZG 1020 19TH STREET, LLC","Office",1013,9
"CCA MASSACHUSETTS AVE LP","Multifamily Housing",1008,8
"PRESIDENTIAL PLAZA LP","Office",1008,10
"ESTELLE S GELMAN TRUSTEE","Multifamily Housing",1006,9
"FP CPT 1750 H STREET LLC","Office",1004,8
"BDC PENNSYLVANIA AVENUE LLC","Office",1003,11
"NATIONAL ASSOC SECURITIES DEALERS INC","Financial Office",993,11
"EPIC 919 LLC","Office",992,9
"METROPOLITAN CLUB","Social/Meeting Hall",986,17
"DC JEFFERSON BUILDING LLC","Office",979,13
"CAMBRIDGE APARTMENTS LIMITE PARTNERSHIP DC LIMITED PART","Multifamily Housing",976,6
"EQR/JBG 12TH & MASS LLC","Multifamily Housing",970,5
"FIRST RISING MOUNT ZION CHURCH","Multifamily Housing",969,4
"UNION PLACE PHASE I","Multifamily Housing",969,4
"VAUGHN MCLEAN LLC","Office",964,16
"HEIGHTS LP","Multifamily Housing",963,6
"EDGEWOOD TERRACE IV PRESERVATION CORPORATION","Multifamily Housing",958,3
"1001 CONNECTICUT AVENUE LLC","Office",956,6
"MORRIS & GWENDOLYN CAFRITZ FOUNDATION","Multifamily Housing",956,8
"LHO WASHINGTON HOTEL THREE L L C","Hotel",947,8
"818 CONNECTICUT LLC","Office",946,10
"LHO WASHINGTON HOTEL FOUR LLC","Hotel",942,7
"1025 VERMONT AVENUE LLC","Office",941,8
"FLUORINE LLC","Office",941,11
"1515 ODGEN STREET LP","Multifamily Housing",940,6
"LENKINN LP","Office",927,9
"CHURCH OF THE EPIPHANY","Fitness Center/Health Club/Gym",921,15
"ZG 122 C STREET LLC","Office",919,8
"ADAMSMORGAN ASSOCIATES","Multifamily Housing",916,4
"JBG 2121 WISCONSIN LLC","Office",916,5
"JOHN W BRAWNER","Office",915,7
"CAPITAL AREA FOOD BANK INC","Food Service",907,7
"TRINITY COLLEGE","Residence Hall/Dormitory",907,16
"2100 MARTIN LUTHER KING ASSOC","Office",903,13
"CHEVY CHASE HOUSE ASSOCIATES","Multifamily Housing",898,8
"TWIN OAKS LLC","Multifamily Housing",896,9
"THE JOHN HOPKINS UNIVERSITY","Office",894,7
"TMT DEMONET INC","Office",891,8
"THE WASHINGTON CENTER FOR INTERNSHIPS AND ACADEMIC SEMINARS","Residence Hall/Dormitory",890,6
"EDWARD W GILLESPIE","Office",881,12
"BARR BUILDING LLC","Office",877,8
"CHASTLETON COOPERATIVE ASSOCIATION INC","Multifamily Housing",873,3
"JAGUAR PROPERTIES LLC","Office",862,8
"IDAHO TERRACE APARTMENTS LLC","Multifamily Housing",859,9
"SAMUEL J SIMMONS NCBA ESTATES #1","Multifamily Housing",856,5
"1666 CONNECTICUT AVENUE LLC","Office",852,10
"ASBURY DWELLINGS INC","Multifamily Housing",848,7
"ZG 1920 L STREET LLC","Office",848,8
"CONNECTICUT HOUSE ASSOCIATES","Multifamily Housing",845,4
"BROADMOOR COOPERATIVE","Multifamily Housing",842,3
"HARVARD HALL LLC","Multifamily Housing",842,5
"SOCIETY OF NEUROSCIENCE","Office",841,10
"BENEDICTINE FOUNDATION","K12 School",836,6
"EPISCOPAL CHURCH HOME FRIENDSHIP INC","Senior Care Community",831,7
"ZG 1900 L STREET LLC","Office",831,8
"VICTORY INVESTMENTS INC","Multifamily Housing",830,13
"DONALD JEMAL","NonRefrigerated Warehouse",825,4
"KENILWORTH AVE APARTMENTS LLC","Multifamily Housing",825,4
"NATIONAL ASSOCIATION FOR THE EDUCATION OF YOUNG CHILDREN","Office",824,7
"2540 MASSACHUSETTS AVENUE NW INC","Multifamily Housing",818,10
"WESLEY THEOLOGICAL SEMINARY OF METHODIST CHURCH","Adult Education",817,6
"PARCEL FIVE ASSOCIATES","Multifamily Housing",814,12
"SOUSA ASSOCIATES LTD ASSOCIATES","Multifamily Housing",810,8
"MARSALLE CENTER ASSOCIATES","Senior Care Community",809,11
"NEON 23 LLC","Office",809,17
"AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","Office",807,6
"DC JEWISH COMMUNITY CENTER","Preschool/Daycare",807,13
"RHODIUM LLC","Office",805,15
"KIPP DC","K12 School",803,10
"MECO LLC","Mixed Use Property",803,15
"WASHINGTON VIEW ASSOCIATES LLC","Multifamily Housing",801,6
"B FRANKLIN KAHN TRUSTEE","Office",800,7
"DEMOCRATIC PROPERTIES CORPORATION","Office",799,9
"SAMUEL KELSEY REDEVELOPMENT LIMITED PARTNERSHIP","Multifamily Housing",796,5
"L G TAKOMA PARK LP","Multifamily Housing",794,4
"FORT LINCOLN NEW TOWN/PREMIUM DISTRIBUTORS LLC","Distribution Center",793,5
"SUMMIT ROOSEVELT LLC","Multifamily Housing",793,5
"LHO WASHINGTON HOTEL TWO LLC","Hotel",792,12
"PALACE LAUNDRY INC","Manufacturing/Industrial Plant",789,10
"WASHINGTON HEBREW CONGREGATION","Worship Facility",789,8
"LUZON ASSOCIATES LP","Multifamily Housing",781,11
"VORNADO 1726 M ST, LLC","Office",781,7
"HHLP CAPITOL HILL ASSOCIATES LLC","Hotel",776,9
"717 14TH STREET LLC","Office",774,7
"GNAREI 1 FARRAGUT LLC","Office",772,5
"AVB GLOVER PARK LLC","Multifamily Housing",771,6
"909 NEW JERSEY AVENUE ACQUISITION LLC","Multifamily Housing",769,2
"WALDEN COMMONS LLC","Multifamily Housing",769,6
"WC AND AN MILLER DEVELOPMENT COMPANY","Office",767,9
"RHODE ISLAND ASSOCIATES LLC","Hotel",765,6
"THE PROFESSIONAL ASSOCIATES","Office",762,11
"1776 MASS AVE RE LLC","Office",754,8
"CHROMIUM LLC","Office",753,12
"1230 LLC","Multifamily Housing",751,6
"1709 L STREET NW LLC","Office",751,7
"MILL PARTNERS PAPERMILL L P","Office",750,8
"THE HERITAGE FOUNDATION","Office",745,10
"LANGSTON LANE LTD PRTNSHP","Multifamily Housing",743,7
"RLJ III F WASHINGTON DC LLC","Hotel",743,6
"KEW BUILDING LLC","Multifamily Housing",739,6
"LINCOLNWESTMORELAND HOUSING","Multifamily Housing",739,6
"SOUTHEAST REALTY LLC","Multifamily Housing",739,3
"PENN B RECREATION","Office",737,9
"WINDSOR ASSOCIATES IV LP","Multifamily Housing",735,5
"CONNECTICUT PARK LLC","Multifamily Housing",733,6
"WILLSCHOOL HOLDINGS LLC","Office",730,12
"GALES PLACE ASSOCIATES LIMITED PARTNERSHIP","Multifamily Housing",726,8
"CS BOND ST C PROPERTIES LLC","Hotel",720,7
"WATERGATE SOUTH INC","Multifamily Housing",717,2
"AREP 1140 19TH STREET LLC","Office",712,10
"21 DUPONT ASSOCIATES LLC","Office",708,13
"HUB PROPERTIES TRUST","K12 School",707,6
"CONNECTICUT AVENUE LP","Mixed Use Property",706,7
"PALMETTO HOSPITALITY OF WASHINGTON DC II LLC","Hotel",706,9
"RUTHENIUM LLC","Office",705,8
"16 COBALT LLC","Office",703,11
"WRIT LP","Office",703,7
"DARO REALTY INC","Multifamily Housing",701,5
"HAMPTON EAST APTS","Multifamily Housing",693,6
"AMERICAN PUBLIC HEALTH ASSOC","Office",681,11
"NATIONAL SAVINGS & TRUST COMPANY TRUSTEES","Multifamily Housing",680,4
"NATIONAL ASSOCIATION  OF BROADCASTERS","Office",679,12
"7019 GEORGIA AVENUE LLC","Multifamily Housing",674,9
"HUMAN RIGHTS CAMPAIGN FOUNDATION","Office",672,10
"CARNEGIE ENDOWMENT FOR INTL PEACE","Office",658,7
"FRANKLIN COMMONS LTD","Multifamily Housing",657,8
"15TH AND H STREET ASSOCIATES LLP","Multifamily Housing",650,3
"MISSIONARY SOCIETY OF ST PAUL TH EAPOSTLE IN THE STATE OF NY","College/University",648,6
"ATLAS PERFORMING ARTS CENTER","Performing Arts",647,12
"1301 VERMONT LLC","Multifamily Housing",642,9
"DESALES VENTURE LLC","Office",639,8
"LHO WASHINGTON HOTEL ONE L L C","Hotel",639,9
"AMERICAN GEOPHYSICAL UNION","Office",638,9
"AMERICAN DENTAL ASSOCIATION","Office",636,8
"1602 IS LLC","Office",634,10
"MORRIS AND GWENDOLYN CAFRITZ FOUNDATION","Multifamily Housing",631,5
"ROBERT ARTHUR","Office",631,9
"MARY E SMITH TRUSTEE","Multifamily Housing",630,6
"AZURE 14TH STREET CORPORATION","Office",626,5
"1000 VERMONT AVENUE SPE LLC","Office",621,7
"CIH GLENDALE PLAZA LP","Multifamily Housing",621,8
"SUMMIT GRAND PARC LLC","Multifamily Housing",620,5
"SUTON ONE LLC","Hotel",615,6
"ONTARIO OWNERS INC","Multifamily Housing",614,3
"1010 VERMONT AV SPE LLC","Office",612,9
"TRUSTEES OF SECOND NEW SAINT PAULS BAPTIST CHURCH","Multifamily Housing",609,10
"LIVE OAK REALTY INC","Office",608,8
"AVALON 318 I STREET LLC","Multifamily Housing",603,5
"CAPITOL HILL TOWER HOUSING COOPERATIVE INCF","Multifamily Housing",597,1
"POTOMAC PLAZA TERRACES","Multifamily Housing",591,3
"UIPNYCB FIVE LP","Multifamily Housing",588,7
"GOLDEN RULE PLAZA INC","Multifamily Housing",587,5
"HERITAGE FOUNDATION INC","Office",587,9
"FRANCISCAN MONASTERY USA INC","Worship Facility",586,5
"SALVATION ARMY","Residence Hall/Dormitory",586,9
"FPW LP","Multifamily Housing",585,7
"PARKCREST, LLC","Multifamily Housing",584,10
"1712 LP","Medical Office",582,11
"KING HOUSING LLC","Multifamily Housing",582,5
"SQUARE N515 ASSOCIATES LLC","Multifamily Housing",581,2
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA)","NonRefrigerated Warehouse",581,8
"HARRIET L WELTMAN","Multifamily Housing",577,10
"801 18TH STREET ASSOCIATES","Office",574,12
"MOUNT VERNON PLAZA ASSOCIATES & DISTRICT OF COLUMBIA","Multifamily Housing",574,3
"INTERNATIONAL UNION OPERATING ENGINEERS","Office",572,6
"2200 SOUTH DAKOTA AVE LLC","Distribution Center",570,6
"LENCSHIRE ASSOCIATES LLC","Multifamily Housing",570,5
"RCQ HOTEL DC LLC","Hotel",570,10
"AFSCME BUILDING CORPORATION","Office",569,8
"EQRDUPONT CORCORAN LLC","Multifamily Housing",561,6
"GRA PROPERTIES LIMITED PARTNERSHIP","Multifamily Housing",561,3
"UIP 1841 COLUMBIA ROAD LLC","Mixed Use Property",559,5
"4201 CONN AVE OWNER LLC","Office",557,8
"ST PATRICKS CHURCH","Office",557,3
"3300 LLC","Multifamily Housing",555,5
"NEW YORK UNIVERSITY","College/University",555,8
"4105 WISCONSIN LLC","Multifamily Housing",553,10
"TRIANGLE DEVELOPMENT ASSOCIATES LLC","Multifamily Housing",553,4
"1230 NEW HAMPSHIRE LLC","Multifamily Housing",551,3
"FT LINCOLN SR VILLAGE NO II ASSOCIATES","Multifamily Housing",551,4
"OLIVE LIMITED PARTNSHIP","Office",550,9
"LOWELL SCHOOL INC","K12 School",548,6
"COUNCIL ON FOREIGN RELATIONS INC","Office",547,8
"SUTON TWO LLC","Hotel",546,7
"THOMAS MOTT TRUSTEES","Hotel",546,7
"WASHINGTON TRANSAIR LLC","Multifamily Housing",539,6
"2512 ASSOCIATES","Senior Care Community",538,7
"JEMALS WONDER LLC","Mixed Use Property",535,6
"FOLGER SHAKESPEARE MEMORIAL LIBRARY","Museum",533,8
"PENN VIEW INVESTMENT LLC","Multifamily Housing",532,7
"NORMANDIE LLC","Multifamily Housing",527,6
"NATIONAL CITY CHRISTIAN CHURCH CORP INC","Worship Facility",526,9
"2300 PENNSYLVANIA AVENUE LLC","Multifamily Housing",523,5
"AMERICAN ASSOCIATION UNIV WOMEN","Office",521,8
"F G H BRUNSWICK LLC","Multifamily Housing",515,5
"PARKSIDE TERRACE DEVELOPMENT LLC","Multifamily Housing",514,2
"COPLEY PLAZA COOPERATIVE INC","Multifamily Housing",512,6
"MS 1300 FIRST ST LLC","Office",512,9
"GARRISON ASSOCIATES LLC","Office",510,8
"WALTER REED APART LTD","Multifamily Housing",510,9
"1425 P STREET LLC","Multifamily Housing",509,4
"AMERICAN LEGACY FOUNDATION","Office",505,12
"TC 3333 WISCONSIN AVENUE LLC","Multifamily Housing",505,5
"BUZ PARTNERSHIP","Multifamily Housing",504,4
"CONTINENTIAL BUILDING LP","Office",504,6
"501 SCHOOL ASSOCIATES LIMITED PARTNERSHIP","Office",502,6
"1701 K LLC","Office",501,8
"AMERICAN UNIVERSITY","Residence Hall/Dormitory",497,5
"GARFIELD ASSOCIATES LLC","Multifamily Housing",492,6
"THE WINCHESTERUNDERWOOD COOPERATIVE INC","Multifamily Housing",487,4
"JUNIPER GARDENS LLC","Multifamily Housing",483,5
"NATIONAL SOFT DRINK ASSOCIATION","Office",482,7
"HIGHLAND PARK WEST INVESTORS LLC","Multifamily Housing",481,3
"PENNSYLVANIA HOUSE ASSOCIATION","Multifamily Housing",479,5
"LEAF LLC","Office",475,6
"15TH AND H STREET ASSOCIATES LLP","Restaurant",474,45
"WILLCAP HOLDINGS LLC","Office",473,6
"MT PLEASANT ASSOCIATES LLC","Multifamily Housing",472,6
"TYLER HOUSE ASSOCIATES 95 L.P.","Multifamily Housing",472,1
"ACADIA BRENTWOOD LLC","Retail Store",469,8
"CAPITAL PLAZA PROPERTIES LLC","Multifamily Housing",468,8
"TOURRAINE LLC","Multifamily Housing",467,5
"KAISER FOUNDATION HEALTH ATTEN: PROPERTYMANAGER","Medical Office",466,6
"GRAND LODGE OF IOOF","Social/Meeting Hall",463,7
"3307 M STREET LLC","Office",461,9
"ASH 2021 L LLC","Office",461,6
"ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON","Worship Facility",461,7
"BELVEDERE, LLC","Multifamily Housing",460,5
"EUPHEMIA L HAYNES PUBLIC CHARTER SCHOOL INC","K12 School",460,10
"1634 EYE LLC","Office",453,6
"2013 NEW HAMP AVE NW LLC","Multifamily Housing",450,5
"VERMONT ASSOCIATES","Office",448,9
"S MARSH","Multifamily Housing",444,6
"USN LLC","Multifamily Housing",443,7
"CHESAPEAKE PRESERVATION LLC","Multifamily Housing",442,7
"1411 K PROPERTY LP","Office",440,7
"JENIFER STREET LIMITED PARTNERSHIP","Office",440,5
"CHESTERFLD COOPERATIVE INC","Multifamily Housing",438,5
"NATTAK INVESTMENTS LLC","Office",438,7
"PARKSIDE SENIOR L P","Multifamily Housing",438,5
"NATIONAL ASSOCIATION OF LETTER CARRIERS","Office",435,6
"CARVER SENIOR APARTMENTS LIMITED PARTNERSHIP","Multifamily Housing",433,5
"CIRCLE PROPERTY CORPORTATION","Multifamily Housing",432,1
"H H CHURCHILL HOTEL ASSOCIATES LP","Hotel",429,4
"NATIONAL PLACE LAND COMPANY LLC","Performing Arts",429,6
"PMDP GA LLC","Multifamily Housing",427,4
"THE DUNKINMAXWELL COMPANY","Multifamily Housing",426,7
"REPUBLIC NATL DISTRIBUTING COMPANY LLC","Distribution Center",425,5
"CHILLUM MANOR LLC","Multifamily Housing",421,8
"METRO MARKET LLC","Multifamily Housing",421,7
"SAINT DOMINICS CATHOLIC CHURCH","Residence Hall/Dormitory",420,7
"GEORGETOWN SUITES LLC","Hotel",418,8
"3725 MACOMB STREET ASSOCIATES LLC","Multifamily Housing",416,7
"HEDIN ASSOCIATES","Multifamily Housing",414,13
"2101 NEW HAMP AVE NW LLC","Multifamily Housing",413,6
"GELMAN ESTELLE S GODSTEIN MARTIN & ETAL","Multifamily Housing",408,5
"2101 CONNECTICUT AVENUE","Multifamily Housing",406,2
"BDC PRESIDENT MADISON LLC","Multifamily Housing",406,5
"VERMONT AVENUE BAPTIST CHURCH","Worship Facility",406,5
"CENTRAL ARMATURE WORKS INC","Manufacturing/Industrial Plant",405,7
"DELANO LLC","Multifamily Housing",405,4
"SKYLINE TOWERS ASSOCIATES LLC","Multifamily Housing",404,6
"CALVARY BAPTIST CHURCH EXTENSION ASSN & CALVARY BAPTIST CHURCH CONGREG","Worship Facility",402,6
"925 LLC","Multifamily Housing",399,3
"EDWARD J LENKIN","Multifamily Housing",397,5
"FIVE SAC RW MS LLC","SelfStorage Facility",396,3
"ADAMS GARDEN TOWERS LLC","Multifamily Housing",393,8
"A & W 300 L STREET LLC","Multifamily Housing",387,7
"BCB APARTMENTS LLC","Multifamily Housing",387,5
"NATCA MEMBERSHIP INVESTMENT INC","Office",385,6
"CARNEGIE INSTITUTION OF WASHINGTON","Office",381,7
"1475 EUCLID STREET NW ASSOCIATES","Multifamily Housing",378,6
"BHB LIMITED PARTNERSHIP","Office",378,8
"J W KING SENIORS LIMITED PRTNSHP","Multifamily Housing",378,5
"BDC DIPLOMAT LLC","Multifamily Housing",376,6
"KS 2000 CONNECTICUT LLC","Multifamily Housing",376,3
"BEVERLY COURT COOPERATIVE","Multifamily Housing",374,5
"CHESAPEAKE DEVELOPMENT CORP","Multifamily Housing",374,4
"1901 WYOMING AVENUE COOPERATIVE","Multifamily Housing",373,5
"705 EDGEWOOD ASSOCIATES LLC","K12 School",373,5
"PRESIDENTIAL OWNERS INC","Multifamily Housing",373,7
"29TH & K ASSOCIATES LP","Hotel",372,6
"MATTHEWS MEMORIAL BAPTIST CHURCH","Multifamily Housing",372,3
"VICTOR REALTY LP","Multifamily Housing",372,7
"C CAFRITZ","Multifamily Housing",371,6
"PEOPLES COOPERATIVE ASSOCIATES INC","Multifamily Housing",371,5
"TENACITY 1801 16TH STREET LLC","Multifamily Housing",368,5
"1368 EUCLID STREET LP","Multifamily Housing",366,6
"2700 CONECTICUT AVENUE LLC","Multifamily Housing",366,4
"SALVATION ARMY","Office",366,11
"COMMUNITY CONNECTIONS REAL ESTATE FOUNDATION","Urgent Care/Clinic/Other Outpatient",355,5
"BROMINE LLC","Office",348,11
"ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON","K12 School",347,5
"WINDERMERE HARROWGATE LLC","Multifamily Housing",347,5
"1701 MASSACHUSETTS AVENUE LLC","Multifamily Housing",345,6
"5601 13TH STREET NW LLC","Multifamily Housing",345,7
"1820 CLYDESDALE COOPERATIVE INC","Multifamily Housing",342,6
"20TH & S ASSOCIATES LLC","Office",340,6
"VAN METRE OAKLAWN TERRACE APARTMENTS L L C","Multifamily Housing",340,4
"MICHAEL KAIN","Office",339,8
"G THOMAS BORGER TRUSTEES","Multifamily Housing",336,6
"PONCE DE LEON COOPERATIVE INC","Multifamily Housing",336,3
"AMALGAMATED TRANSIT UNION","Office",334,5
"13291337 FT STEVENS DR LLC","Multifamily Housing",332,5
"INVESTORS CONNECTICUT AVENUE LLC","Multifamily Housing",332,3
"ROCKBURNE ESTATES LP","Multifamily Housing",331,2
"WINDERMERE HARROGATE LLC","Multifamily Housing",330,5
"BDC LIVINGSTON LLC","Multifamily Housing",329,7
"WEST MADISON A CORPORATION","Multifamily Housing",326,3
"NATIONAL CHILDRENS CENTER INC","Financial Office",324,5
"JAMES PROPERTIES II LLC","Multifamily Housing",323,6
"CLIFTON TERRACE L P","Multifamily Housing",322,3
"TRUSTEES FOR CHURCH OF SCIENTOLOGY RELIGIOUS TRUST","Worship Facility",318,6
"VICTORY HEIGHTS INC","Multifamily Housing",317,5
"SANG KWONCHIO","Office",315,3
"PNC BANK NATL ASSOCIATION","Office",310,13
"7 K L C","Office",305,5
"1661 CRESCENT PLACE NW INC","Multifamily Housing",304,3
"NORTH CAPITOL AT PLYMOUTH INC","Multifamily Housing",304,5
"NATIONAL HISPANIC COUNCIL ON AGING","Multifamily Housing",303,1
"PARK REGENT LLC","Multifamily Housing",303,5
"PUBLIC STORAGE INSTITUTE FUND","NonRefrigerated Warehouse",299,3
"1870 WYOMING AVENUE NW INC","Multifamily Housing",290,5
"JEMALS ORME LLC","Office",288,6
"POTOMAC ELECTRIC POWER COMPANY","NonRefrigerated Warehouse",281,5
"SAXONY COOPERATIVE APARTMENTS INC","Multifamily Housing",281,3
"ROLLING TERRACE LLC","Multifamily Housing",279,6
"SEDGEWICK DC OWNER LLC","Multifamily Housing",277,4
"RA LLC","Office",275,8
"SASAKAWA PEACE FOUNDATION","Office",275,5
"WILLIAM PENNSYLVANIA LTD","Multifamily Housing",275,4
"NINETEENTH STREET BAPTIST CHURCH","Worship Facility",273,3
"CATHCONN ASSOCIATES LP","Multifamily Housing",272,4
"MCDANIELS INVESTMENT CORP","Multifamily Housing",267,5
"NEW FAIRMONT L.P.","Multifamily Housing",264,22
"LONFELLOW COLARDO ASSO LLC","Multifamily Housing",262,4
"FOUNDRY UNITED METHODIST CHURCH","Worship Facility",260,4
"TUDOR LP","Hotel",254,4
"LMG 2807 LLC","Residence Hall/Dormitory",253,5
"2021 K L.L.C","Office",251,7
"FPE LP","Multifamily Housing",251,4
"AVONDALE COOPERATIVE APARTMENTS INC","Multifamily Housing",248,4
"UV, LP","Multifamily Housing",245,4
"1630 CONNECTICUT LTD","Office",240,3
"3801 GEORGIA AVE LLC","Multifamily Housing",235,4
"PROVINCE OF ST AUGUSTINE OF ORDER CAPUCHIN","Residence Hall/Dormitory",235,4
"STERLING GUNSTON LLC","Multifamily Housing",234,4
"GARY EVANS","Multifamily Housing",231,2
"WRF 1921 KALORAMA RD, LP","Multifamily Housing",229,3
"MADISON TRUSTEE COOPERATIVE INC","Multifamily Housing",223,4
"RUTLAND COURT OWNERS INC","Multifamily Housing",222,3
"B&R ASSOCIATES","Strip Mall",217,1
"MENDOTA APARTMENTS INC","Multifamily Housing",216,3
"BRISTOL ASSOCIATES","Multifamily Housing",215,1
"3025 ONTARIO ROAD INC","Multifamily Housing",212,4
"JEMALS TOWER LLC","Office",209,2
"BISHOP S C MADISON TRUSTEE","Multifamily Housing",207,2
"BROOKLAND ARTSPACE LOFTS LLC","Multifamily Housing",205,4
"TAMOL LP","Hospital (General Medical & Surgical)",204,3
"DOUGLASS LP","Multifamily Housing",203,4
"SMC UNITED INDUSTRIAL LIMITED PARTNERSHIP","Refrigerated Warehouse",189,8
"STORAGE PORTFOLIO LLC","NonRefrigerated Warehouse",187,2
"TILDEN GARDENS INC","Multifamily Housing",183,3
"VIRGINIA M PAINTER","Other",173,3
"BLAIR STORAGE LLC","SelfStorage Facility",172,3
"MAYFAIR MANSIONS LIMITED PARTNERSHIP","Multifamily Housing",171,0
"PLAZA WEST COOPERATIVE & DISTRICT OF COLUMBIA","Multifamily Housing",169,3
"TILDEN HALL CORP","Multifamily Housing",165,2
"VERITAS GROUP IV L L C","SelfStorage Facility",162,2
"THE CATHOLIC UNIVERSITY OF AMERICA","Residence Hall/Dormitory",161,3
"WESTERN PRESBYTERIAN CHURCH TRUSTEES","Worship Facility",157,3
"CLAIBORNE COOPERATIVE ASSOCIATION INC","Multifamily Housing",156,3
"CAVANAUGH COURT OWNERS","Multifamily Housing",152,3
"WILLIS LP","Multifamily Housing",151,3
"BLAIR STORAGE LLC","NonRefrigerated Warehouse",150,2
"TP2 LLC","Multifamily Housing",148,2
"HACIENDA COOPERATIVE INC","Multifamily Housing",143,3
"R STREET STORAGE ASSOCIATES","SelfStorage Facility",143,1
"WASHINGTON APARTMENT LP","Other",142,1
"AMERCO REAL ESTATE COMPANY","SelfStorage Facility",125,2
"ROMAN CATHOLIC ARCHBISHOP WASHINGTON","K12 School",121,2
"JAMALS PREMIUM LLC","Office",112,1
"UNITED HOUSE PRYR ALL PEOPLE CH RCK APOS","Multifamily Housing",111,1
"DGV ASSOCIATES, L.L.C.","Multifamily Housing",102,2
"4100 GEORGIA AVE LIMITED PARTNERSHIP","Multifamily Housing",101,1
"WAYNE PLACE SENIOR LIVING LIMTIED PARTNERSHIP","Senior Care Community",101,2
"ADAMS CATHEDRAL LLC","Multifamily Housing",92,1
"ATLANTIC TERRACE LTD","Multifamily Housing",91,1
"NORTHUMBERLAND APARTMENTS INC","Multifamily Housing",91,1
"CHR LLC","Multifamily Housing",80,1
"301 N STREET LTD PARTNERSHIP","SelfStorage Facility",74,1
"MAURICE LIPNICK","Multifamily Housing",74,1
"PALISADES LLC","Multifamily Housing",71,1
"WASTE MANAGEMENT OF MARYLAND INC","Other  Public Services",71,1
"HENRY J KAISER FAMILY FOUNDATION","Office",66,1
"SOUTHEAST WASHINGTON DEVELOPMENT ASSOCIATES LP","Other",62,0
"SANDROCK ASSOCIATES LIMITED PARTNERSHIP","SelfStorage Facility",57,1
"KANSAS AVENUE DEVELOPMENT GROUP LLC","NonRefrigerated Warehouse",55,1
"BLAIR ROAD DEVELOPMENT GROUP LLC","NonRefrigerated Warehouse",49,1
"JEMALS GATEWAY DC LLC","Mixed Use Property",39,1
"JEMALS VAN NESS LLC","Retail Store",39,1
"645 H ST NE OFFICE PJV LLC","Office",22,0
"BLAIR ROAD DEVELOPMENT GROUP LLC","SelfStorage Facility",19,0
"HILLSIDE TERRACE LLC","Multifamily Housing",9,0
"LSREF2 WINDMILL REO NEW YORK LLC","Distribution Center",7,0
