LOT,LOT_TYPE,OWNERNAME,CAREOFNAME,ADDRESS1,ADDRESS2,CITYSTZIP,PROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KWH,NATURALGASUSE_THERMS,LATITUDE,LONGITUDE
278,1,A&W 300 L STREET LLC,EDGEWOOD MGMT CORP,9711 WASHINGTONIAN BLVD STE, ,"GAITHERSBURG, MD 20878-7394",Aria On L Street,0300 L ST,A & W 300 L STREET LLC,2007,Multifamily Housing,58814,11,49,48,154,150,387,6.580065971,"1,319",844327,0,38.90397288,-77.00157874
862,2,ADAMS GARDEN TOWERS LLC, ,1228 31ST ST NW FL 2, ,"WASHINGTON, DC 20007-3414",Adams-Garden Towers,2325 15TH ST NW,ADAMS GARDEN TOWERS LLC,1940,Multifamily Housing,54613,34,107,106,169,166,393,7.196088843,"2,863",393335,40108,38.92090649,-77.03474526
73,1,ADAMS-MORGAN ASSOCIATES,LENKIN CO INC,4922A SAINT ELMO AVE, ,"BETHESDA, MD 20814-6056",The Promenade,1884 COLUMBIA RD NW,ADAMS-MORGAN ASSOCIATES,1964,Multifamily Housing,187707,85,55,54,97,95,916,4.879945873,"5,591",1152530,73320,38.91902472,-77.04386951
26,1,AFL & CIO TRUSTEES, ,815 16TH ST NW # 703, ,"WASHINGTON, DC 20006-4101",AFL-CIO,0815 16TH ST NW,AFL & CIO TRUSTEES,1952,Office,179490,0,85,85,179,179,2080,11.58838933,"2,152",3280911,109432,38.9007158,-77.03590456
847,2,AFSCME BUILDING CORPORATION, ,1625 L ST NW, ,"WASHINGTON, DC 20036-5665",American Federation  of State County && Municiple Employees,1625 L ST NW,AFSCME BUILDING CORPORATION,1955,Office,75033,77,65,65,175,175,569,7.583330001,"1,054",1124955,10445,38.90405574,-77.03776476
805,2,ALEXANDRA B SHRAKE,DONOHOE REAL ESTATE SERVICES,7101 WISCONSIN AVE, ,"BETHESDA, MD 20814-4871",5151 Wisconsin Ave,5151 WISCONSIN AV NW,SATELITE INC,1963,Office,108724,1,255,255,742,742,3326,30.59122181,"2,490",6945597,28899,38.95670671,-77.08284058
22,1,ALONZO O BLISS PROPERTIES,WILLIAM C SMITH & CO,1100 NEW JERSEY AVE SE # 1000, ,"WASHINGTON, DC 20003-3302",Frontenac,4550 CONNECTICUT AV NW,ALONZO O BLISS PROPERTIES,1931,Multifamily Housing,113164,0,62.2,63.3,78.3,79.5,425.1,3.756494998,3097.6,206293.1,63307.598,38.94940511,-77.06706876
29,1,ALONZO O BLISS PROPERTIES,WILLIAM C SMITH & CO,1100 NEW JERSEY AVE SE # 1000, ,"WASHINGTON, DC 20003-3302",2800 Woodley Rd 2010,2800 WOODLEY RD NW,ALONZO O BLISS PROPERTY,1942,Multifamily Housing,240516,0,86.9,88.1,156.6,157.7,1164.6,4.842089508,6398.3,1542975,93813.767,38.92558796,-77.05687362
471,1,ALONZO O BLISS PROPERTIES,WILLIAM C SMITH & C0,1100 NEW JERSEY AVE SE # 1000, ,"WASHINGTON, DC 20003-3302",Calverton,1673 COLUMBIA RD NW,NATIONAL SAVINGS & TRUST COMPANY TRUSTEES,1920,Multifamily Housing,104040,0,62.2,62.7,93.4,93.9,446.2,4.288735102,2052.6,409219.7,50752.357,38.92541426,-77.03901352
448,1,ALONZO O BLISS PROPERTIES,WILLIAM C SMITH & C0,1100 NEW JERSEY AVE SE # 1000, ,"WASHINGTON, DC 20003-3302",The Chatham,1707 COLUMBIA RD NW,NATIONAL SAVINGS & TRUST COMPANY,1916,Multifamily Housing,114441,15,78.9,79.5,150.4,151.1,778.5,6.802631924,4202.6,1085076,53256.83956,38.92510906,-77.03963729
805,2,AMALGAMATED TRANSIT UNION, ,10000 NEW HAMPSHIRE AVE, ,"SILVER SPRING, MD 20903-1706","Amalgamated Transit Union, Intl",5025 WISCONSIN AV NW,AMALGAMATED TRANSIT UNION,1985,Office,61217,87,39,38,104,103,334,5.456000784,"1,143",658046,6243,38.955602,-77.08276897
208,6,AMERCO REAL ESTATE COMPANY, ,PO BOX 29046, ,"PHOENIX, AZ 85038-9046",U-Haul Moving and Storage of Intown,2215 5TH ST NE,AMERCO REAL ESTATE COMPANY,1927,Self-Storage Facility,64477,0,15,14,45,44,125,1.938675807,93,273455,0,38.91955458,-76.9989437
841,2,AMERICAN ASSOC OF STATE COLLEGES AND UNIVERSITIES, ,1307 NEW YORK AVE NW, ,"WASHINGTON, DC 20005-4704",The Associations,1307 NEW YORK AV,AMERICAN ASSOC OF STATE COLLEGES AND UNIVERSITIES,1997,Office,144144,77,57.9,57.9,181.9,181.9,867.9,6.021062271,1587.6,2008689,0,38.90053688,-77.0304129
38,1,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,COLLEEN STRUSS,1200 NEW YORK AVE NW FL 9, ,"WASHINGTON, DC 20005-3928",1200 New York Avenue NW (AAAS),1200 NEW YORK AV NW,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,1996,Office,263000,79,68.2,68.6,181,181.4,1726.1,6.563117871,4103.8,3545302,36583.246,38.90017677,-77.02846157
84,1,AMERICAN ASSOCIATION UNIV WOMEN, ,1111 16TH ST NW, ,"WASHINGTON, DC 20036-4809",American Association of University Women,1111 16TH ST NW,AMERICAN ASSOCIATION UNIV WOMEN,1975,Office,61863,62,63,62,197,194,521,8.421835346,930,1140093,0,38.90414677,-77.03606293
854,2,AMERICAN CHEMICAL SOCIETY, ,1155 16TH ST NW, ,"WASHINGTON, DC 20036-4800",American Chemical Society - 1550 Building,1550 M ST NW,AMERICAN CHEMICAL SOCIETY,1987,Office,96839,90,46.7,46.8,146.5,147,503.9,5.203482068,1246,1166153,0,38.90534169,-77.03573213
853,2,AMERICAN CHEMICAL SOCIETY, ,1155 16TH ST NW, ,"WASHINGTON, DC 20036-4800",American Chemical Society - Headquarters,1155 16TH ST NW,AMERICAN CHEMICAL SOCIETY,1954,Office,144462,89,99,99,257,257,1291,8.936606166,"1,458",2472599,30406,38.90530315,-77.03604252
113,1,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION, ,2400 N ST NW STE 321-B, ,"WASHINGTON, DC 20037-1153",American College of Cardiology Heart House,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,1985,Office,241362,67,76,76,232.3,232.4,1587.8,6.578500344,2007.5,3613022,5040.284,38.90698227,-77.05200318
901,2,AMERICAN COLLEGE OF SURGEONS,CFO,633 N SAINT CLAIR ST FL 27, ,"CHICAGO, IL 60611-3295",20 F Street,0020 F ST,AMERICAN COLLEGE OF SURGEONS,2009,Office,173460,80,52,52,162,162,1229,7.085206964,"1,911",2690922,0,38.89686283,-77.00996769
816,2,AMERICAN COUNCIL ON EDUCATION, ,1 DUPONT CIR NW, ,"WASHINGTON, DC 20036-1110",National Center for Higher Education,0001 DUPONT CIR NW,AMERICAN COUNCIL ON EDUCATION,1969,Office,302468,0,96,94,228,226,2334,7.716518772,"6,225",4157672,81950,38.90911288,-77.04442963
93,1,AMERICAN DENTAL ASSOCIATION,BORGER MGT,1111 14TH ST NW STE 200, ,"WASHINGTON, DC 20005-5622",American Dental Assoication,1111 14TH ST NW,AMERICAN DENTAL ASSOCIATION,1981,Office,82682,70,58,57,181,177,636,7.692121623,"1,268",1392865,0,38.90428163,-77.03153958
895,2,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,SURDIVANT,80 F ST NW, ,"WASHINGTON, DC 20001-1528",AFGE,0080 F ST NW,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,1984,Office,142975,77,45,45,142,142,807,5.644343417,"3,194",1766607,0,38.89708226,-77.01079071
33,1,AMERICAN GEOPHYSICAL UNION, ,8001 FORBES PL STE 305, ,"SPRINGFIELD, VA 22151-2209","2000 Florida Avenue, NW",2000 FLORIDA AV NW,AMERICAN GEOPHYSICAL UNION,1994,Office,88150,61,78,77,206,206,638,7.237663074,823,1247145,12876,38.91461872,-77.04529518
69,1,AMERICAN POSTAL WORKERS UNION HOLDING CORPORATION,TRANSWESTERN,1899 L ST NW # LL, ,"WASHINGTON, DC 20036-3804",1300 L Street,1300 L ST NW,AMERICAN POSTAL WORKERS UNION HOLDING CORPORATION,1986,Office,117016,26,101.6,101.6,319,319,1037.4,8.865454297,2615.2,2400984,0,38.90351312,-77.03002548
817,2,AMERICAN PUBLIC HEALTH ASSOC, ,800 I ST NW, ,"WASHINGTON, DC 20001-3710",American Public Health Association,0800 I ST NW,AMERICAN PUBLIC HEALTH ASSOC,1999,Office,61006,35,81,81,256,256,681,11.16283644,296,1489982,0,38.90065875,-77.02329073
844,2,AMERICAN SECURITY & TRUST COMPANY, ,11161 NEW HAMPSHIRE AVE STE, ,"SILVER SPRING, MD 20904-2606",Quebec House South,2800 QUEBEC ST NW,AMERICAN SECURITY & TRUST COMPANY,1949,Multifamily Housing,344727,74,61.3,61.8,124,124.4,1893.2,5.491881982,18189516.4,2954431,116187.005,38.93622236,-77.05558867
821,2,4200 Wisconsin Ave,BMS REALTY SERVICES,4201 CONNECTICUT AVE NW STE, ,"WASHINGTON, DC 20008-1158",4200 Wisconsin Ave,4200 WISCONSIN AV NW,AMERICAN UNIVERSITY,1975,Other,216397,38,112.3,112.3,334.6,334.6,1978,9.14060731,3967.6,4461292,9498,38.94349618,-77.07809747
24,1,Katzen Arts Center,CONTROLLER,4400 MASSACHUSETTS AVE NW, ,"WASHINGTON, DC 20016-8002",Katzen Arts Center,3500 NEBRASKA AV NW,AMERICAN UNIVERSITY,2005,Parking,130000,0,243.3,243.6,463.6,463.9,2546.5,19.58846154,5323.1,3768343,173018.823,38.93978372,-77.0876311
1,1,Nebraska Hall,CONTROLLER,4400 MASSACHUSETTS AVE NW, ,"WASHINGTON, DC 20016-8002",Nebraska Hall,4400 MASSACHUSETTS AV NW,AMERICAN UNIVERSITY,1959,College/University,1452667,84,40.3,46,80.8,106,245.8,0.169206019,2147,379576.8,15413.999,38.9369038,-77.08947263
1,1,AMERICAN UNIVERSITY AT CONNECTICUT AVENUE LLC, ,4400 MASSACHUSETTS AVE NW, ,"WASHINGTON, DC 20016-8001",4401 Connecticut Avenue,4401 CONNECTICUT AV NW,AMERICAN UNIVERSITY AT CONNECTICUT AVENUE LLC,2012,Mixed Use Property,133044,0,109,109,278,278,1188,8.929376748,"325,146",2259386,29372,38.94575662,-77.06386937
146,1,APA 750 LLC,TRAMMELLCROW CO,750 1ST ST NE STE 250, ,"WASHINGTON, DC 20002-4254",750 First Street,0750 1ST ST NE,APA 750 LLC,1991,Office,394400,80,66,66,208,208,3503,8.881845842,"5,649",7667976,0,38.89983398,-77.00749596
145,1,APA TEN G LLC,TRAMMELL CROW CO,750 1ST ST NE STE 250, ,"WASHINGTON, DC 20002-4254",10 G,10 G ST,APA TEN G LLC,1997,Office,274960,91,58,58,184,184,2192,7.972068665,"5,000",4798239,0,38.89911249,-77.00816828
114,1,ASB 801 NORTH CAPITOL LLC,ASB RE INVESTMENTS,7501 WISCONSIN AVE STE 1300W, ,"BETHESDA, MD 20814-6569",801 North Capitol Street,0801 NORTH CAPITOL ST NE,ASB 801 NORTH CAPITOL LLC,1966,Office,98980,70,99,98,205,203,1107,11.18407759,"1,551",1715983,60843,38.90050004,-77.00854681
810,2,ASBURY DWELLINGS INC, ,20316 SENECA MEADOWS PKWY, ,"GERMANTOWN, MD 20876-7004",asbury dwellings,1616 MARION ST,ASBURY DWELLINGS INC,1908,Multifamily Housing,128015,30,94,93,154,153,848,6.624223724,"4,305",927403,79861,38.9119567,-77.02135642
103,1,ASH 2021 L LLC, ,2021 L ST NW STE 200, ,"WASHINGTON, DC 20036-4984",American Society of Hematology Building,2021 L ST NW,ASH 2021 L LLC,2010,Office,77376,91,46,45,132,130,461,5.957919768,793,958005,4440,38.90407165,-77.04564626
49,1,ASN DUPONT CIRCLE LLC,EQUITY RESIDENTIAL,PO BOX 87407, ,"CHICAGO, IL 60680-0407",Flats of Dupont Circle,2000 N ST NW,ASN DUPONT CIRCLE LLC,1967,Multifamily Housing,423631,74,40.3,40.5,98.5,98.6,1744.4,4.117734538,8310.1,3337362,56987.822,38.90684926,-77.04544738
32,1,ATLANTIC FREEHOLDS,GROSVENOR INTL,1701 PENN AVE NW STE 1050, ,"WASHINGTON, DC 20006-5805",1701 Pennsylvania Ave.,1701 PENNSYLVANIA AV NW,ATLANTIC FREEHOLDS,1962,Office,263216,88,59,57,153,151,1438,5.463193727,"6,792",2764163,33078,38.89937434,-77.03992037
32,1,ATLANTIC TERRACE LTD, ,6 FANEUIL HALL MARKETPLACE, ,"BOSTON, MA 02109-6115",Atlantic Terrace Ltd.,4301 3RD ST,ATLANTIC TERRACE LTD,1964,Multifamily Housing,200839,100,3.6,3.6,8.6,8.6,72.7,0.361981488,12265.1,135543,2665,38.82811675,-77.00260796
158,1,ATLAS PERFORMING ARTS CENTER, ,1313 H ST NE, ,"WASHINGTON, DC 20002-4446",Atlas Performing Arts Center,1313-1333 H ST,ATLAS PERFORMING ARTS CENTER,2005,Performing Arts,53936,0,104,101,277,274,647,11.99569861,"304,633",1269917,12582,38.89983033,-76.98747456
803,2,AUSTIN L AUBINOE, ,7507 ARLINGTON RD, ,"BETHESDA, MD 20814-6101",4801 Connecticut Ave Apartments,4801 CONNECTICUT AV NW,CAROLYN STICKLE KOSER TRUSTEE,1946,Multifamily Housing,281555,72,66,0,110,0,1066,3.786116389,"7,348",1166985,69402,38.95252475,-77.06768276
956,2,AVB GLOVER PARK LLC,AVALONBAY COMMUNITIES INC,671 N GLEBE RD STE 800, ,"ARLINGTON, VA 22203-2138",MidAtlantic - DC: eaves Glover Park,3850 TUNLAW RD NW,AVB GLOVER PARK LLC,1953,Multifamily Housing,170582,46,77,76,137,135,771,4.51982038,"4,736",966642,62010,38.9249617,-77.07692222
107,1,AVONDALE COOPERATIVE APARTMENTS INC,TILTON BERNSTEIN MGMT,1827 14TH ST NW, ,"WASHINGTON, DC 20009-4425",1734 P Street NW,1734 P ST NW,AVONDALE COOPERATIVE APARTMENTS INC,1914,Multifamily Housing,59544,85,62,62,88,87,248,4.164987236,374,193409,30131,38.90933074,-77.04002629
32,1,AZ JH REIT DC LP, ,1100 NEW YORK AVE NW STE 270W, ,"WASHINGTON, DC 20005-6115",1100 New York Avenue,1110 NEW YORK AV NW,MANUFACTURERS LIFE INSURANCE,1991,Office,563484,0,53,53,164,164,4073,7.22824428,"10,689",8892615,2085,38.90031824,-77.02757659
92,1,AZURE 14TH STREET CORPORATION,MARVIN F POER AND CO,PO BOX 847, ,"CARLSBAD, CA 92018-0847",1101 14th street,1101 14TH ST NW,AZURE 14TH STREET CORPORATION,1981,Office,155374,93,39,39,122,122,626,4.028988119,"3,185",1368928,186,38.90403382,-77.03153947
7,1,B&R ASSOCIATES,MR BRADLEY BERNSTEIN,204 MONROE ST, ,"ROCKVILLE, MD 20850-4425",Rhode Island Ave Shopping Center,524 RHODE ISLAND AV,B&R ASSOCIATES,1985,Strip Mall,194698,0,8,8,26,26,217,1.114546631,"2,693",475680,0,38.92191724,-76.99807447
859,2,BAEV-LASALLE  ONE THOMAS CIRCLE LLC, ,100 E PRATT ST STE 2030, ,"BALTIMORE, MD 21202-1009",Thomas Circle CF LLC,0001 THOMAS CIR NW,THOMAS CIRCLE C F LLC,1982,Office,339406,79,66.3,66.3,208,208,2000.7,5.89471017,3349.3,4630217,0,38.90533989,-77.03275463
51,1,BCB APARTMENTS LLC,ALDON MGMT CORP,8180 WISCONSIN AVE, ,"BETHESDA, MD 20814-3624",The Brittany Apartments,5432 CONNECTICUT AV NW,BCB APARTMENTS LLC,1963,Multifamily Housing,71469,61,68,68,118,116,387,5.414935147,607,465042,32887,38.96281828,-77.07497618
960,2,BDC DIPLOMAT LLC, ,5301 WISCONSIN AVE NW FL 6, ,"WASHINGTON, DC 20015-2015",Diplomat,2420 16TH ST NW,BDC DIPLOMAT LLC,1927,Multifamily Housing,65258,74,79,79,128,127,376,5.761745686,"1,651",399418,36503,38.92165461,-77.03710595
823,2,BDC LIVINGSTON LLC, ,5301 WISCONSIN AVE NW STE 600, ,"WASHINGTON, DC 20015-2044",Livingston,5437 CONNECTICUT AV NW,BDC LIVINGSTON LLC,1954,Multifamily Housing,53410,52,83,83,143,141,329,6.159895151,"2,268",385963,28682,38.96291332,-77.07389227
112,1,BDC PENNSYLVANIA AVENUE LLC, ,5301 WISCONSIN AVE NW STE 600, ,"WASHINGTON, DC 20015-2044",600 Pennsylvania,0600 PENNSYLVANIA AV SE,BDC PENNSYLVANIA AVENUE LLC,1976,Office,182152,42,85.1,85.5,267.2,268.4,944.3,5.184131934,2534.8,2185455,0,38.88572877,-76.99766665
801,2,BDC PRESIDENT MADISON LLC, ,5301 WISCONSIN AVE NW STE 600, ,"WASHINGTON, DC 20015-2044",President Madison Apartments,1908 FLORIDA AV NW,BDC PRESIDENT MADISON LLC,1905,Multifamily Housing,86166,75,68,68,100,100,406,4.711835295,"3,816",343365,46834,38.9149938,-77.04434114
806,2,"BELVEDERE, LLC", ,5301 WISCONSIN AVE NW STE 600, ,"WASHINGTON, DC 20015-2044",Belvedere,1301 MASSACHUSETTS AV NW,"BELVEDERE, LLC",1927,Multifamily Housing,100441,84,58,58,100,99,460,4.579803068,"3,523",538508,40315,38.90537344,-77.03001989
133,1,BENEDICTINE FOUNDATION, ,4501 S DAKOTA AVE NE, ,"WASHINGTON, DC 20017-2753",Benedictine Foundation,4501 SOUTH DAKOTA AV NE,BENEDICTINE FOUNDATION,1942,K-12 School,70768,0,69,68,130,127,836,11.81324893,"1,276",1140290,59341,38.94618598,-76.98555332
804,2,BERKSHIRE APARTMENTS LLC,GABLES RESIDENTIAL,225 NE MIZNER BLVD STE 400, ,"BOCA RATON, FL 33432-4092",The Berkshire,4201 MASSACHUSETTS AV,BERKSHIRE APARTMENTS LLC,1952,Multifamily Housing,688692,76,57.1,57.1,105.6,105.6,3274.5,4.754665366,28063.9,4513351,249533.723,38.93578403,-77.0818229
801,2,BERNARD S GEWIRZ, ,11161 NEW HAMPSHIRE AVE STE, ,"SILVER SPRING, MD 20904-2606",Quebec House North,2801 QUEBEC ST NW,BERNARD S GEWIRZ,1949,Multifamily Housing,177642,77,62.1,62.3,123.1,122.6,948.2,5.33770167,9076782,1442475,61217.001,38.93720848,-77.05622165
804,2,BEVERLY COURT COOPERATIVE,WILLIAM C SMITH  & CO,1100 NEW JERSEY AVE SE STE 100, ,"WASHINGTON, DC 20003-3304",Beverly Court Co-op Inc,1736 COLUMBIA RD NW,BEVERLY COURT COOPERATIVE,1943,Multifamily Housing,74072,39,66,65,109,109,374,5.049141376,"1,388",419252,34263,38.92410334,-77.03991246
828,2,BFP 1625 EYE CO LLC, ,PO BOX 4900, ,"SCOTTSDALE, AZ 85261-4900",1625 Eye Street,1625 I ST,BFP 1625 EYE CO LLC,2003,Office,624620,83,56.3,56.3,176.8,176.8,3020,4.834939643,10561.2,6989434,0,38.9017009,-77.03752514
24,1,BFP 701 9TH CO LLC,BROOKFIELD PROPERTIES MGMT,750 9TH ST NW STE 700, ,"WASHINGTON, DC 20001-4590",Edison Place DDOE,0701 9TH ST NW,BFP 701 9TH CO LLC,2001,Office,383813,86,51.6,51.6,162.1,162.1,2607.9,6.794715135,6226980.1,6035507,0,38.89907977,-77.02346787
50,1,BGW LP,SUITE 801,1150 CONNECTICUT AVE NW, ,"WASHINGTON, DC 20036-4104",1425K,1425 K ST NW,BGW LP,2000,Office,231489,75,64,64,200,200,2043,8.825473349,"3,316",4472564,1811.811,38.90291356,-77.03306602
824,2,BHB LIMITED PARTNERSHIP, ,2 WISCONSIN CIR STE 1050, ,"CHEVY CHASE, MD 20815-7026",601 Indiana,0601 INDIANA AV NW,BHB LIMITED PARTNERSHIP,1963,Office,57083,78,59,59,176,175,378,6.621936478,"2,629",800785,2302,38.89462949,-77.02026864
111,1,BISHOP S C MADISON TRUSTEE, ,1665 N PORTAL DR NW, ,"WASHINGTON, DC 20012-1053",McCollough Canaanland Apartments,1202 - 1216 6TH ST NW,BISHOP S C MADISON TRUSTEE,1975,Multifamily Housing,82800,100,17,17,26,26,99,1.195652174,"4,811",94239,10469,38.90665128,-77.02052369
59,1,BISHOP S C MADISON TRUSTEE, ,1665 N PORTAL DR NW, ,"WASHINGTON, DC 20012-1053",McCollough Paradise Gardens Apartments,1107 7TH ST NW,BISHOP S C MADISON TRUSTEE,1982,Multifamily Housing,232208,100,4.5,4.5,10.6,10.6,105.3,0.453472749,8754.5,193851,4055.46,38.90472145,-77.02116118
133,6,BLACK ENTERTAINMENT TELEVISION & DISTRICT OF COLUMBIA,DC OFFICE OF CABLE TELEVISION,1900 W PL NE, ,"WASHINGTON, DC 20018-1230",Studio 2,1900 W PL,BLACK ENTERTAINMENT TELEVISION & DISTRICT OF COLUMBIA,1985,Office,95000,0,256,256,641,641,1617,17.02105263,"1,402",3017204,45060,38.91643186,-76.99138612
835,2,BLAIR ROAD DEVELOPMENT GROUP LLC,WILKES CO,5101 WISCONSIN AVE NW STE 200, ,"WASHINGTON, DC 20016-4136","Blair Road Development Group, LLC 0835",6101 BLAIR RD NW,BLAIR ROAD DEVELOPMENT GROUP LLC,1964,Non-Refrigerated Warehouse,69261,0,7,7,16,16,49,0.70746885,60,85489,1819,38.96454961,-77.01118959
809,2,BLAIR ROAD DEVELOPMENT GROUP LLC,THE WILKES CO,5101 WISCONSIN AVE NW STE 200, ,"WASHINGTON, DC 20016-4136","BRDG, LLC 0809",6035 BLAIR RD,BLAIR ROAD DEVELOPMENT GROUP LLC,1964,Self-Storage Facility,63711,0,4,3,7,6,19,0.298221657,114,25492,1401,38.9638043,-77.0103785
35,1,BLAKE DEVELOPMENT COMPANY,SUITE 801,1150 CONNECTICUT AVE NW, ,"WASHINGTON, DC 20036-4104",Blake Building,1025 CONNECTICUT AV NW,BLAKE DEVELOPMENT COMPANY,1962,Office,466690,88,64.8,65,166.6,166.8,2463.3,5.278236088,5912.4,4928098,62743.968,38.90332427,-77.03934766
75,1,BLENHEIM DC I LLC, ,450 PARK AVE FL 25, ,"NEW YORK, NY 10022-2605",Blenheim DC I LLC,1801 K ST,BLENHEIM DC LLC,1971,Office,818524,82,49.7,49.7,156,156,3852.7,4.706887031,7181.3,8916528,0,38.90317527,-77.0421924
24,1,BOND WASHINGTON LLC,NAKASH HOLDINGS LLC,1400 BROADWAY FL 5, ,"NEW YORK, NY 10018-5300",Bond,1400 NEW YORK AV NW,BOND WASHINGTON LLC,1986,Office,211501,85,53,53,167,167,1256,5.938506201,"2,809",2750660,0,38.89886601,-77.03242572
32,1,BOP 650 MASS LLC,PROPERTY TAX DEPT 113,PO BOX 4900, ,"SCOTTSDALE, AZ 85261-4900",650 Mass Ave,0628-0650 MASSACHUSETTS AV,BOP 650 MASS LLC,1988,Office,465800,86,52.1,52.1,163.7,163.7,2343.9,5.031987978,"4,769",5424589,0,38.90142072,-77.02151201
26,1,BOP 799 9TH LLC,PROPERTY TAX DEPT 113,PO BOX 4900, ,"SCOTTSDALE, AZ 85261-4900",799 9th street,0799 9TH ST NW,BOP 799 9TH LLC,2001,Office,215686,0,41.1,48,115,123,3081.3,14.28604545,3918,2214624,14856.051,38.89953274,-77.02346801
67,1,BOWEN BUILDING LP, ,210 E RTE 4, ,"PARAMUS, NJ 07652-5108",875 15th St NW,0875 15TH ST,BOWEN BUILDING LP,2005,Office,164340,54,88,88,277,277,3053,18.57733966,"4,281",6684140,0,38.90100429,-77.03318406
803,2,BP 1330 CONNECTICUT AVENUE LLC,BOSTON PROPERTIES/UNIT 200,2200 PENNSYLVANIA AVE NW, ,"WASHINGTON, DC 20037-1701",1330 Connecticut Ave. NW,1330 CONNECTICUT AV NW,BP 1330 CONNECTICUT AVENUE LLC,1984,Office,255095,82,66.8,66.8,209.5,209.5,3104.8,12.17115192,8976.7,6566859,0,38.90792317,-77.04290722
85,1,BP 1333 NEW HAMPSHIRE AVE LLC,BOSTON PROPERTIES/UNIT 200,2200 PENNSYLVANIA AVE NW, ,"WASHINGTON, DC 20037-1701",1333 New Hampshire Ave.,1333 NEW HAMPSHIRE AV NW,BP 1333 NEW HAMPSHIRE AVE LLC,1978,Office,357983,79,66.9,66.9,210.1,210.1,2755.6,7.697572231,9291.8,6377519,0,38.90843974,-77.04408364
34,1,BP/CRF 901 NEW YORK AVENUE LLC,BOSTON PROPERTIES/UNIT 200,2200 PENNSYLVANIA AVE NW, ,"WASHINGTON, DC 20037-1701",901 New York Avenue,0901 NEW  YORK  AV NW,BP/CRF 901 NEW YORK AVENUE LLC,2004,Office,558645,82,64.4,64.2,200.7,200,4898.5,8.768538159,17424.6,11285210,3912.451,38.90214461,-77.02513001
810,2,BPP CONNECTICUT AVE LLC, ,PO BOX A3879, ,"CHICAGO, IL 60690-3879",Chanin Building - 815 Connecticut,0815 CONNECTICUT AV NW,ALECTA PENSIONS FORSAKRING OMSESIDIGT,1963,Office,269617,82,56.7,56.9,157.3,157.5,1228.2,4.555350738,9892.6,2610223,18924.538,38.9009624,-77.03795277
1,1,BRANDYWINE APARTMENTS OF MARYLAND LLC, ,4545 CONNECTICUT AVE NW, ,"WASHINGTON, DC 20008-6042",The Brandywine Apartments,4545 CONNECTICUT AV NW,BRANDYWINE APARTMENTS OF MARYLAND LLC,1954,Multifamily Housing,347040,57,69.1,74.3,137.9,130.6,2056.54,5.925945136,12725.9,2589764.5,151362.6,38.94925289,-77.06536336
2,1,BRENTWOOD ASSOCIATES,EDGEWOOD MGMT,9711 WASHINGTONIAN BLVD STE, ,"GAITHERSBURG, MD 20878-7394",Brookland Manor,1335 - 1345 SARATOGA AV NE,BRENTWOOD ASSOCIATES,1947,Multifamily Housing,52235,1,215,215,368,368,4225,80.88446444,"9,674",4975137,367683,38.92173977,-76.98675196
166,1,BREOF 64 NEW YORK AVE REO LLC, ,4678 WORLD PARKWAY CIR, ,"SAINT LOUIS, MO 63134-3114",64 New York Avenue,64 NEW YORK AV,BREOF 64 NEW YORK AVE REO LLC,2000,Office,340934,86,49.8,49.9,147.6,147.8,2398.7,7.035672594,3894.4,5062534,16270.15347,38.90912136,-77.00689622
6,1,BRICKMAN 4201 CONNECTICUT AVENUE LLC, ,712 5TH AVE FL 6, ,"NEW YORK, NY 10019-4108",4201 Connecticut Ave NW,4201 CONNECTICUT AV NW,4201 CONN AVE OWNER LLC,1966,Office,109032,0,61,61,190,190,557,5.108591973,705,1218535,0,38.94347448,-77.06265323
814,2,BRISTOL ASSOCIATES,BORGER MANAGEMENT,1111 14TH ST NW STE 200, ,"WASHINGTON, DC 20005-5622",Bristol House,1400 20TH ST NW,BRISTOL ASSOCIATES,1963,Multifamily Housing,158375,100,22.8,22.9,27,27.1,208.3,1.315232833,9128.8,68103,33717.201,38.90899176,-77.04519953
800,2,BROADMOOR COOPERATIVE, ,3601 CONNECTICUT AVE NW, ,"WASHINGTON, DC 20008-2406",The Broadmoor Cooperative Apartments,3601 CONNECTICUT AV NW,BROADMOOR COOPERATIVE,1928,Multifamily Housing,308077,100,33.7,47.8,57.4,44.4,591.6,1.920299146,6030.9,298597.9,87168.235,38.93773603,-77.05856484
